starting_year,tuition_and_fees
1966,302.3624291
1967,310.0744361
1968,321.002362
1969,358.3548315
1970,393.6885582
1971,427.7616168
1972,502.6300446
1973,513.5768557
1974,512.4164446
1975,542.1454266
1976,616.5515374
1977,654.680963
1978,687.6744752
1979,737.5483508
1980,803.747278
1981,909.4993544
1982,1031.433165
1983,1147.727212
1984,1227.881695
1985,1317.601053
1986,1413.678767
1987,1537.368133
1988,1646.188102
1989,1779.609033
1990,1888.129113
1991,2116.892852
1992,2349.108575
1993,2536.582308
1994,2680.715293
1995,2847.579122
1996,2987.221282
1997,3109.505876
1998,3228.716855
1999,3348.805705
2000,3500.524982
2001,3735.205656
2002,4046.173101
2003,4586.540638
2004,5026.550249
2005,5350.929386
2006,5666.216013
2007,5943.137008
2008,6311.838371
2009,6716.599169
2010,7131.846567
2011,7713.410494
2012,8070.190026
2013,8311.861658
2014,8543.353275
2015,8778.397073
2016,8804.399324
2017,9037.0494